Student ID,Age,Sex,Graduated High-School Type,Scholarship,Additional Work,Regular Artistic or Sports Activity,Partener,Total Salary,Transportation to University,Accommodation Type,Mothers Education,Fathers Education,Number of Siblings,Parental Status,Mothers Occupation,Fathers Occupation,Weekly Study Hours,Reading Frequency (non-scientific books/journals),Reading Frequency (scientific books/journals),Attendance to the Seminars/Conferences Related to the Department,Impact of your Projects/Activities on your Success,Attendance to Classes,Preparation to Midterm Exams 1,Preparation to Midterm Exams 2,Taking Notes in Classes,Listening in Classes,Discussion Improves my Interest and Success in the Course,Flip-classroom,Cumulative Grade Point Average in the Last Semester,Expected Cumulative Grade Point Average in the Graduation,Course ID,Grade
1,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,rental,primary school,secondary school,3,married,housewife,other,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,never,useful,<2.00,<2.00,1,DD
2,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,rental,secondary school,high school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,2.00-2.49,2.50-2.99,1,DD
3,22-25,male,state,50%,No,No,No,USD 201-270,Other,dormitory,secondary school,secondary school,2,married,housewife,retired,<5 hours,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,never,not useful,2.00-2.49,2.00-2.49,1,DD
4,18-21,female,private,50%,Yes,No,Yes,USD 201-270,Bus,dormitory,primary school,secondary school,5 or above,married,housewife,retired,6-10 hours,none,Sometimes,Yes,Yes,always,alone,regurlarly during the semester,always,sometimes,sometimes,not useful,2.50-2.99,2.00-2.49,1,DD
5,22-25,male,private,50%,No,No,Yes,USD 271-340,Bus,other,high school,high school,2,married,housewife,self-employment,<5 hours,none,none,Yes,Yes,always,with friends,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.00-2.49,2.00-2.49,1,DD
6,22-25,male,state,50%,No,No,No,USD 201-270,Bus,rental,high school,high school,2,married,housewife,private sector employee,none,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,never,sometimes,never,useful,3.00-3.49,3.00-3.49,1,DC
7,18-21,male,state,75%,No,No,No,USD 135-200,Bus,with family,primary school,high school,1,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,No,Yes,sometimes,alone,closest date to the exam,always,always,always,not applicable,3.00-3.49,3.00-3.49,1,BB
8,18-21,female,state,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,with family,university,high school,1,married,private sector employee,private sector employee,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,closest date to the exam,always,sometimes,sometimes,not useful,<2.00,<2.00,1,DC
9,22-25,female,other,50%,No,Yes,Yes,USD 135-200,Bus,with family,secondary school,university,2,married,housewife,self-employment,none,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,useful,3.00-3.49,2.50-2.99,1,BB
10,22-25,female,state,50%,No,No,Yes,USD 271-340,Other,dormitory,primary school,secondary school,3,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,2.00-2.49,1,Fail
11,18-21,female,private,50%,No,No,No,USD 271-340,Private car/taxi,with family,high school,university,2,married,government officer,government officer,none,none,none,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,<2.00,1,DC
12,18-21,female,private,75%,Yes,Yes,No,USD 341-410,Private car/taxi,with family,MSc.,MSc.,1,married,government officer,government officer,6-10 hours,Often,Often,Yes,3,always,not applicable,regurlarly during the semester,always,never,always,not applicable,3.00-3.49,2.50-2.99,1,Fail
13,18-21,female,private,75%,No,No,No,USD 135-200,Bus,rental,high school,MSc.,4,divorced,housewife,government officer,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,not applicable,3.00-3.49,2.00-2.49,1,Fail
14,22-25,female,state,Full,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,private sector employee,none,Sometimes,none,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,always,not applicable,3.00-3.49,2.00-2.49,1,DD
15,above 26,male,state,75%,Yes,Yes,No,USD 271-340,Other,dormitory,high school,primary school,2,married,private sector employee,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,sometimes,not useful,3.00-3.49,3.00-3.49,1,DC
16,22-25,male,state,50%,No,No,No,USD 135-200,Bus,dormitory,university,university,2,married,government officer,retired,<5 hours,Sometimes,Sometimes,No,3,sometimes,alone,closest date to the exam,always,sometimes,sometimes,not applicable,2.00-2.49,2.00-2.49,1,DC
17,18-21,female,state,Full,No,Yes,No,USD 135-200,Bus,rental,secondary school,secondary school,4,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,always,not applicable,3.00-3.49,2.50-2.99,1,DD
18,22-25,male,state,50%,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,No,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,2.00-2.49,2.00-2.49,1,DC
19,18-21,female,state,75%,No,No,No,USD 271-340,Bus,rental,secondary school,secondary school,5 or above,married,housewife,other,more than 20 hours,Often,Sometimes,No,Yes,sometimes,alone,closest date to the exam,always,never,always,not applicable,2.50-2.99,2.50-2.99,1,DC
20,18-21,male,private,50%,No,No,Yes,USD 201-270,Private car/taxi,dormitory,high school,high school,3,married,housewife,self-employment,11-20 hours,Sometimes,Sometimes,Yes,No,always,alone,closest date to the exam,always,sometimes,sometimes,not applicable,2.00-2.49,2.50-2.99,1,CC
21,18-21,male,state,Full,Yes,No,Yes,USD 135-200,Other,dormitory,high school,high school,3,divorced,housewife,private sector employee,11-20 hours,Sometimes,Sometimes,No,Yes,always,alone,regurlarly during the semester,always,never,sometimes,not applicable,3.00-3.49,3.00-3.49,1,DD
22,18-21,male,state,Full,No,No,Yes,USD 135-200,Other,dormitory,secondary school,secondary school,4,married,housewife,private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,never,always,not applicable,2.50-2.99,2.50-2.99,1,DD
23,22-25,male,state,50%,Yes,No,Yes,USD 135-200,Bus,rental,primary school,primary school,4,divorced,housewife,self-employment,6-10 hours,Often,Often,Yes,Yes,always,alone,regurlarly during the semester,always,never,sometimes,not applicable,2.50-2.99,2.50-2.99,1,CC
24,above 26,male,state,25%,Yes,Yes,No,above 410,Bus,rental,primary school,university,3,married,housewife,retired,6-10 hours,Sometimes,Often,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,always,not applicable,2.50-2.99,2.50-2.99,1,DD
25,22-25,male,state,50%,No,No,No,USD 201-270,Bus,rental,high school,primary school,3,married,housewife,self-employment,none,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,never,always,useful,3.00-3.49,3.00-3.49,1,DC
26,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,dormitory,primary school,university,3,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,never,always,useful,<2.00,2.00-2.49,1,CC
27,22-25,male,state,50%,No,Yes,Yes,USD 135-200,Bus,rental,university,university,4,married,housewife,self-employment,<5 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,always,always,useful,2.00-2.49,<2.00,1,DD
28,18-21,male,private,50%,Yes,No,No,USD 135-200,Bus,rental,primary school,primary school,4,married,housewife,private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,never,sometimes,not useful,2.00-2.49,<2.00,1,DD
29,above 26,male,state,50%,No,No,Yes,USD 135-200,Other,dormitory,secondary school,secondary school,4,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,not applicable,above 3.49,3.00-3.49,1,CC
30,22-25,male,other,75%,No,No,No,USD 135-200,Other,dormitory,high school,high school,2,married,private sector employee,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,useful,3.00-3.49,2.50-2.99,1,BB
31,22-25,male,state,Full,Yes,Yes,Yes,USD 135-200,Bus,dormitory,primary school,primary school,5 or above,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,sometimes,always,always,not applicable,above 3.49,3.00-3.49,1,BB
32,above 26,male,state,50%,Yes,No,No,USD 135-200,Bus,dormitory,primary school,secondary school,4,married,housewife,private sector employee,<5 hours,Sometimes,Often,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,not applicable,3.00-3.49,2.50-2.99,1,CC
33,22-25,female,state,50%,No,No,No,USD 201-270,Bus,rental,secondary school,secondary school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.00-2.49,2.50-2.99,1,DD
34,22-25,female,state,50%,Yes,No,Yes,USD 135-200,Bus,rental,primary school,secondary school,5 or above,married,housewife,private sector employee,<5 hours,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,never,always,sometimes,useful,2.00-2.49,2.50-2.99,1,DC
35,18-21,male,private,50%,No,No,Yes,USD 201-270,Bus,rental,high school,high school,3,married,housewife,self-employment,<5 hours,none,none,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,always,not useful,3.00-3.49,<2.00,1,DC
36,18-21,male,private,75%,No,No,No,USD 271-340,Bus,rental,primary school,secondary school,5 or above,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,never,always,not useful,<2.00,<2.00,1,DD
37,22-25,male,other,75%,Yes,No,Yes,USD 271-340,Bus,rental,primary school,primary school,2,divorced,private sector employee,private sector employee,none,none,Often,Yes,Yes,sometimes,with friends,closest date to the exam,sometimes,never,sometimes,not useful,3.00-3.49,2.50-2.99,1,DC
38,22-25,male,state,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,with family,high school,high school,1,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,not applicable,above 3.49,3.00-3.49,1,DD
39,22-25,male,state,Full,No,No,No,USD 135-200,Bus,rental,high school,high school,1,married,housewife,self-employment,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,sometimes,sometimes,sometimes,useful,3.00-3.49,2.50-2.99,1,DC
40,22-25,female,state,50%,No,No,Yes,USD 135-200,Bus,dormitory,primary school,high school,1,married,housewife,self-employment,none,Sometimes,none,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,not applicable,2.00-2.49,<2.00,1,DD
41,18-21,male,private,50%,No,No,No,USD 201-270,Bus,rental,secondary school,high school,1,married,housewife,other,none,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,never,sometimes,not useful,2.00-2.49,2.50-2.99,1,DD
42,above 26,male,state,50%,Yes,No,No,USD 201-270,Bus,dormitory,primary school,university,2,married,housewife,government officer,6-10 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,sometimes,not applicable,3.00-3.49,2.50-2.99,1,DD
43,22-25,male,state,50%,No,Yes,No,USD 135-200,Other,dormitory,university,university,2,married,government officer,retired,<5 hours,Sometimes,none,Yes,Yes,always,alone,closest date to the exam,sometimes,never,always,not useful,2.00-2.49,2.50-2.99,1,DD
44,18-21,male,state,50%,No,No,Yes,USD 135-200,Bus,rental,secondary school,high school,3,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,never,always,not applicable,2.50-2.99,2.00-2.49,1,CB
45,22-25,male,other,50%,No,No,Yes,USD 135-200,Bus,rental,primary school,high school,2,married,housewife,other,<5 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,always,sometimes,sometimes,not useful,3.00-3.49,2.50-2.99,1,DD
46,18-21,male,state,50%,No,No,Yes,USD 341-410,Bus,rental,secondary school,high school,5 or above,married,housewife,self-employment,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,not useful,3.00-3.49,2.50-2.99,1,CC
47,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,rental,primary school,secondary school,3,married,housewife,other,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,always,not useful,3.00-3.49,2.00-2.49,1,BB
48,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,dormitory,university,high school,1,married,self-employment,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,never,always,useful,above 3.49,2.50-2.99,1,CC
49,18-21,male,state,50%,No,Yes,Yes,USD 135-200,Bus,dormitory,high school,high school,3,married,housewife,government officer,none,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,2.00-2.49,2.00-2.49,1,DD
50,18-21,male,private,75%,No,No,No,USD 201-270,Other,rental,secondary school,high school,2,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.50-2.99,2.00-2.49,1,DC
51,22-25,male,state,50%,No,No,Yes,USD 201-270,Private car/taxi,rental,primary school,primary school,2,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,not applicable,2.50-2.99,2.50-2.99,1,DD
52,22-25,female,other,50%,Yes,Yes,No,USD 135-200,Bus,rental,primary school,secondary school,5 or above,married,housewife,retired,none,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,always,always,not useful,2.50-2.99,2.50-2.99,1,CB
53,22-25,female,state,50%,Yes,No,No,USD 201-270,Bus,rental,primary school,high school,4,married,housewife,retired,6-10 hours,none,none,Yes,Yes,always,alone,regurlarly during the semester,sometimes,sometimes,sometimes,not useful,3.00-3.49,2.00-2.49,1,DD
54,22-25,female,state,50%,No,Yes,No,USD 201-270,Bus,rental,primary school,primary school,5 or above,married,housewife,retired,none,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,2.50-2.99,2.00-2.49,1,BB
55,22-25,male,state,50%,No,No,No,USD 271-340,Other,dormitory,primary school,university,2,married,private sector employee,government officer,<5 hours,none,none,Yes,Yes,always,alone,regurlarly during the semester,always,never,always,not useful,above 3.49,2.50-2.99,1,CC
56,above 26,male,state,50%,Yes,No,Yes,USD 341-410,Bus,dormitory,primary school,primary school,5 or above,died - one of them or both,housewife,retired,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,never,never,always,always,not applicable,above 3.49,3.00-3.49,1,CC
57,22-25,male,state,50%,No,Yes,No,USD 135-200,Bus,rental,primary school,high school,5 or above,married,housewife,self-employment,11-20 hours,Sometimes,Often,Yes,Yes,always,alone,regurlarly during the semester,always,sometimes,always,not applicable,above 3.49,3.00-3.49,1,BB
58,22-25,male,state,50%,Yes,Yes,No,USD 135-200,Bus,rental,university,secondary school,3,married,government officer,private sector employee,<5 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,not useful,above 3.49,3.00-3.49,1,CB
59,above 26,male,state,50%,No,No,Yes,USD 271-340,Bus,rental,primary school,high school,5 or above,divorced,housewife,retired,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,useful,above 3.49,3.00-3.49,1,CC
60,22-25,male,state,50%,No,Yes,Yes,USD 135-200,Bus,rental,university,university,3,married,housewife,private sector employee,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,useful,3.00-3.49,2.50-2.99,1,BB
61,22-25,female,state,50%,No,No,No,above 410,Private car/taxi,rental,Ph.D.,primary school,3,married,housewife,private sector employee,none,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,never,always,always,not useful,2.00-2.49,<2.00,1,DC
62,18-21,male,other,50%,No,Yes,No,USD 201-270,Bus,dormitory,primary school,high school,4,married,housewife,private sector employee,6-10 hours,none,Sometimes,Yes,3,sometimes,alone,closest date to the exam,always,sometimes,sometimes,useful,3.00-3.49,3.00-3.49,1,BB
63,22-25,male,state,50%,No,No,No,USD 135-200,Other,dormitory,secondary school,high school,2,married,housewife,self-employment,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,always,useful,above 3.49,3.00-3.49,1,CC
64,22-25,male,state,75%,No,No,Yes,USD 201-270,Bus,rental,primary school,high school,3,married,housewife,retired,none,none,Sometimes,Yes,Yes,always,not applicable,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.50-2.99,2.50-2.99,1,BB
65,22-25,male,other,Full,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,retired,none,Sometimes,Sometimes,Yes,3,always,with friends,closest date to the exam,always,sometimes,always,not useful,3.00-3.49,2.50-2.99,1,CC
66,18-21,male,state,50%,No,No,Yes,USD 271-340,Bus,rental,secondary school,university,3,married,housewife,self-employment,none,none,Sometimes,Yes,3,sometimes,with friends,closest date to the exam,sometimes,never,sometimes,not useful,2.00-2.49,2.00-2.49,1,DC
67,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,rental,high school,secondary school,5 or above,married,housewife,other,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not applicable,above 3.49,3.00-3.49,2,BB
68,22-25,male,other,50%,Yes,Yes,No,USD 271-340,Bus,dormitory,high school,university,4,divorced,housewife,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,never,useful,2.00-2.49,2.50-2.99,2,DD
69,22-25,female,state,75%,Yes,No,No,USD 135-200,Bus,rental,secondary school,high school,5 or above,died - one of them or both,housewife,other,none,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,always,useful,3.00-3.49,2.50-2.99,3,BB
70,22-25,female,state,75%,No,No,Yes,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,private sector employee,none,none,Sometimes,Yes,Yes,always,with friends,closest date to the exam,always,sometimes,always,not useful,2.50-2.99,2.00-2.49,3,BB
71,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Bus,rental,university,high school,1,divorced,private sector employee,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,always,not useful,above 3.49,3.00-3.49,3,AA
