Student ID,Age,Sex,Graduated High-School Type,Scholarship,Additional Work,Regular Artistic or Sports Activity,Partener,Total Salary,Transportation to University,Accommodation Type,Mothers Education,Fathers Education,Number of Siblings,Parental Status,Mothers Occupation,Fathers Occupation,Weekly Study Hours,Reading Frequency (non-scientific books/journals),Reading Frequency (scientific books/journals),Attendance to the Seminars/Conferences Related to the Department,Impact of your Projects/Activities on your Success,Attendance to Classes,Preparation to Midterm Exams 1,Preparation to Midterm Exams 2,Taking Notes in Classes,Listening in Classes,Discussion Improves my Interest and Success in the Course,Flip-classroom,Cumulative Grade Point Average in the Last Semester,Expected Cumulative Grade Point Average in the Graduation,Course ID,Grade
72,18-21,female,other,75%,No,No,No,USD 135-200,Bus,with family,primary school,high school,5 or above,married,housewife,self-employment,<5 hours,Sometimes,none,Yes,Yes,always,alone,closest date to the exam,sometimes,always,always,not applicable,2.00-2.49,2.00-2.49,3,BA
73,18-21,male,state,50%,No,Yes,Yes,USD 135-200,Bus,dormitory,primary school,primary school,2,married,housewife,private sector employee,<5 hours,Often,Often,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,always,useful,2.50-2.99,2.50-2.99,3,BA
74,22-25,male,state,75%,No,No,No,USD 135-200,Bus,dormitory,primary school,high school,4,married,housewife,self-employment,6-10 hours,none,none,No,Yes,always,alone,regurlarly during the semester,always,sometimes,always,not useful,above 3.49,2.50-2.99,3,BA
75,18-21,male,state,75%,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,3,married,housewife,retired,<5 hours,Sometimes,Sometimes,No,Yes,always,with friends,closest date to the exam,always,sometimes,always,useful,2.50-2.99,2.50-2.99,3,AA
76,18-21,male,state,75%,No,Yes,No,USD 135-200,Bus,with family,primary school,MSc.,4,married,housewife,government officer,6-10 hours,Often,none,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,3.00-3.49,<2.00,3,AA
77,22-25,male,private,25%,No,Yes,No,USD 201-270,Bus,rental,MSc.,university,3,married,private sector employee,private sector employee,<5 hours,Often,Sometimes,Yes,Yes,always,not applicable,regurlarly during the semester,sometimes,never,sometimes,not applicable,2.00-2.49,2.00-2.49,4,CB
78,18-21,male,private,25%,No,No,Yes,USD 201-270,Private car/taxi,dormitory,Ph.D.,MSc.,2,married,private sector employee,government officer,<5 hours,Sometimes,Sometimes,No,Yes,sometimes,not applicable,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,<2.00,4,AA
79,22-25,female,state,75%,Yes,Yes,No,USD 135-200,Bus,rental,primary school,high school,4,married,housewife,self-employment,<5 hours,Often,Often,Yes,Yes,sometimes,alone,closest date to the exam,always,always,sometimes,useful,2.00-2.49,2.00-2.49,4,CB
80,22-25,male,state,75%,No,No,No,USD 135-200,Bus,rental,primary school,high school,4,married,housewife,self-employment,none,Sometimes,Sometimes,Yes,3,always,alone,closest date to the exam,always,always,always,useful,3.00-3.49,3.00-3.49,4,CC
81,22-25,female,state,50%,Yes,No,Yes,USD 135-200,Private car/taxi,rental,primary school,primary school,2,married,housewife,private sector employee,none,none,none,Yes,3,always,alone,closest date to the exam,sometimes,always,never,useful,3.00-3.49,2.00-2.49,5,CB
82,above 26,male,state,50%,Yes,No,No,USD 135-200,Bus,dormitory,primary school,secondary school,4,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,not applicable,above 3.49,3.00-3.49,5,CC
83,22-25,male,state,75%,Yes,No,Yes,USD 201-270,Bus,rental,high school,primary school,3,married,housewife,private sector employee,<5 hours,Sometimes,Often,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,not applicable,3.00-3.49,2.50-2.99,5,AA
84,22-25,male,other,50%,No,No,No,USD 271-340,Bus,rental,university,university,2,married,retired,government officer,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,closest date to the exam,always,sometimes,always,not applicable,<2.00,2.00-2.49,5,AA
85,above 26,male,other,50%,Yes,No,Yes,USD 271-340,Bus,dormitory,university,secondary school,5 or above,died - one of them or both,housewife,retired,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,never,always,always,always,not applicable,above 3.49,3.00-3.49,5,AA
86,18-21,male,state,Full,No,No,No,USD 201-270,Bus,rental,primary school,primary school,5 or above,married,housewife,retired,none,none,none,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,not applicable,3.00-3.49,2.50-2.99,5,CB
87,22-25,male,state,75%,No,No,No,USD 135-200,Other,dormitory,high school,high school,2,married,private sector employee,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,above 3.49,3.00-3.49,5,BB
88,22-25,male,state,50%,No,Yes,No,USD 201-270,Bus,rental,high school,university,2,married,retired,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,<2.00,6,BA
89,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Bus,rental,university,university,1,married,government officer,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,regurlarly during the semester,always,never,sometimes,not applicable,above 3.49,2.50-2.99,6,BA
90,22-25,male,state,50%,No,No,No,USD 135-200,Bus,rental,high school,MSc.,3,married,housewife,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,never,always,not applicable,2.50-2.99,2.00-2.49,6,BA
91,22-25,female,state,50%,No,Yes,Yes,USD 135-200,Private car/taxi,with family,high school,high school,1,married,private sector employee,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,sometimes,not applicable,3.00-3.49,2.00-2.49,6,BA
92,22-25,male,state,Full,Yes,Yes,Yes,USD 135-200,Bus,dormitory,university,primary school,5 or above,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,always,useful,above 3.49,3.00-3.49,6,BA
93,18-21,male,state,50%,No,No,No,USD 135-200,Bus,rental,high school,university,4,married,government officer,government officer,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,not applicable,2.00-2.49,2.00-2.49,6,AA
94,18-21,male,state,None,Yes,No,Yes,USD 135-200,Bus,dormitory,primary school,secondary school,4,married,housewife,private sector employee,more than 20 hours,Sometimes,none,Yes,Yes,always,alone,closest date to the exam,always,always,always,useful,2.00-2.49,2.00-2.49,6,CB
95,22-25,male,state,50%,No,No,Yes,USD 135-200,Bus,rental,high school,secondary school,5 or above,married,housewife,other,<5 hours,Sometimes,Often,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not applicable,above 3.49,3.00-3.49,6,BA
96,18-21,male,other,Full,Yes,Yes,Yes,USD 135-200,Private car/taxi,with family,high school,university,1,married,housewife,retired,<5 hours,Sometimes,Often,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not useful,3.00-3.49,2.50-2.99,7,BB
97,18-21,male,state,75%,No,Yes,Yes,USD 135-200,Private car/taxi,with family,secondary school,secondary school,3,married,private sector employee,government officer,<5 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,2.00-2.49,2.50-2.99,7,AA
98,18-21,male,state,75%,Yes,No,No,USD 135-200,Bus,with family,high school,high school,4,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not useful,2.50-2.99,2.50-2.99,7,BA
99,18-21,male,state,75%,No,Yes,No,USD 135-200,Other,dormitory,secondary school,university,2,married,housewife,other,<5 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,never,sometimes,not useful,3.00-3.49,3.00-3.49,7,AA
100,22-25,male,state,50%,No,No,No,USD 135-200,Other,dormitory,high school,university,2,married,housewife,retired,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,2.00-2.49,2.00-2.49,7,AA
101,18-21,male,state,75%,No,No,No,USD 135-200,Private car/taxi,with family,university,primary school,2,married,government officer,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.50-2.99,2.50-2.99,7,BA
102,18-21,male,state,75%,No,No,Yes,USD 201-270,Bus,with family,secondary school,high school,1,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,not useful,2.00-2.49,2.50-2.99,7,AA
103,18-21,male,state,50%,No,No,Yes,USD 135-200,Bus,dormitory,high school,primary school,1,divorced,private sector employee,self-employment,<5 hours,Sometimes,Sometimes,No,Yes,always,alone,closest date to the exam,always,never,sometimes,not useful,2.50-2.99,3.00-3.49,7,AA
104,18-21,male,private,75%,No,No,Yes,above 410,Bus,dormitory,primary school,high school,4,married,housewife,retired,<5 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,always,useful,3.00-3.49,3.00-3.49,7,AA
105,18-21,female,state,50%,No,No,No,USD 135-200,Private car/taxi,dormitory,university,university,1,married,government officer,government officer,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,sometimes,useful,<2.00,<2.00,7,CC
106,18-21,male,state,75%,Yes,Yes,No,USD 135-200,Bus,rental,secondary school,secondary school,4,married,housewife,self-employment,<5 hours,Often,Sometimes,Yes,Yes,sometimes,alone,regurlarly during the semester,sometimes,never,always,not useful,2.50-2.99,2.50-2.99,7,AA
107,18-21,male,state,75%,No,Yes,No,USD 135-200,Bus,dormitory,secondary school,secondary school,1,married,housewife,retired,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,not applicable,regurlarly during the semester,sometimes,sometimes,sometimes,not useful,3.00-3.49,3.00-3.49,7,AA
108,18-21,female,state,75%,Yes,Yes,No,USD 135-200,Bus,with family,primary school,high school,5 or above,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,closest date to the exam,sometimes,always,sometimes,not useful,3.00-3.49,2.00-2.49,7,BA
109,22-25,female,private,Full,No,Yes,No,USD 201-270,Private car/taxi,rental,primary school,secondary school,1,died - one of them or both,retired,other,6-10 hours,Often,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,always,never,useful,2.50-2.99,2.50-2.99,7,BA
110,18-21,male,private,50%,No,Yes,Yes,USD 135-200,Private car/taxi,dormitory,university,university,2,died - one of them or both,housewife,other,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,with friends,regurlarly during the semester,always,sometimes,always,not useful,3.00-3.49,3.00-3.49,7,AA
111,22-25,male,state,50%,No,No,No,USD 201-270,Other,dormitory,university,university,2,divorced,retired,other,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.00-2.49,2.50-2.99,8,DC
112,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,dormitory,high school,high school,1,married,government officer,government officer,none,Sometimes,Sometimes,No,No,always,alone,closest date to the exam,always,never,always,not applicable,3.00-3.49,2.50-2.99,8,DC
113,22-25,female,other,50%,Yes,No,No,USD 135-200,bicycle,with family,primary school,primary school,2,married,housewife,retired,none,none,none,No,3,always,with friends,closest date to the exam,always,always,always,not useful,3.00-3.49,2.00-2.49,8,DC
114,22-25,female,other,50%,No,No,No,USD 135-200,Other,dormitory,university,university,1,married,government officer,government officer,<5 hours,Sometimes,Often,No,3,sometimes,with friends,closest date to the exam,sometimes,sometimes,never,not useful,<2.00,2.00-2.49,8,DD
115,22-25,female,state,Full,Yes,Yes,No,USD 341-410,Bus,rental,primary school,primary school,1,married,housewife,retired,<5 hours,Sometimes,Sometimes,No,No,always,alone,closest date to the exam,sometimes,sometimes,never,useful,<2.00,<2.00,8,DC
116,22-25,female,state,Full,Yes,No,Yes,USD 135-200,Bus,rental,primary school,primary school,2,married,housewife,government officer,6-10 hours,Often,Sometimes,No,3,always,with friends,regurlarly during the semester,always,sometimes,always,useful,2.00-2.49,2.00-2.49,8,DD
117,22-25,female,state,Full,No,No,No,USD 135-200,Bus,rental,primary school,primary school,5 or above,married,housewife,self-employment,6-10 hours,Often,Often,No,Yes,always,alone,closest date to the exam,always,always,always,not useful,2.00-2.49,2.50-2.99,8,DD
118,above 26,female,private,50%,No,Yes,No,USD 135-200,Bus,dormitory,university,university,1,married,retired,private sector employee,<5 hours,Sometimes,Often,No,Yes,sometimes,alone,closest date to the exam,sometimes,always,sometimes,not useful,2.00-2.49,2.50-2.99,8,DD
119,18-21,male,state,Full,No,Yes,Yes,USD 135-200,Other,dormitory,primary school,secondary school,3,married,private sector employee,self-employment,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,closest date to the exam,always,always,sometimes,useful,2.50-2.99,2.50-2.99,8,DD
120,22-25,female,state,75%,No,Yes,No,USD 135-200,Bus,dormitory,high school,high school,2,died - one of them or both,housewife,other,more than 20 hours,Sometimes,Sometimes,Yes,Yes,always,alone,regurlarly during the semester,sometimes,sometimes,always,not useful,2.50-2.99,2.50-2.99,8,DC
121,22-25,female,private,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,with family,high school,high school,2,married,government officer,self-employment,none,none,none,Yes,Yes,sometimes,with friends,closest date to the exam,always,always,always,useful,2.00-2.49,2.00-2.49,8,DD
122,22-25,female,state,50%,Yes,Yes,Yes,USD 135-200,Private car/taxi,rental,primary school,primary school,5 or above,died - one of them or both,housewife,self-employment,more than 20 hours,Often,Often,Yes,3,always,with friends,closest date to the exam,never,never,never,not useful,<2.00,<2.00,8,Fail
123,18-21,male,state,Full,No,Yes,No,USD 135-200,Bus,rental,high school,high school,2,married,housewife,retired,<5 hours,none,Sometimes,Yes,No,always,with friends,closest date to the exam,always,sometimes,sometimes,not useful,3.00-3.49,2.50-2.99,8,DC
124,22-25,female,other,50%,No,No,No,USD 271-340,Bus,rental,high school,secondary school,4,married,retired,retired,<5 hours,Sometimes,Often,No,Yes,always,alone,closest date to the exam,always,always,sometimes,not useful,<2.00,<2.00,8,DD
125,18-21,female,state,75%,Yes,Yes,Yes,USD 135-200,Bus,with family,secondary school,high school,2,married,private sector employee,private sector employee,11-20 hours,Sometimes,Sometimes,No,Yes,always,with friends,regurlarly during the semester,always,always,sometimes,not useful,2.50-2.99,2.50-2.99,9,CC
126,18-21,female,state,Full,Yes,Yes,No,USD 135-200,Bus,with family,primary school,primary school,5 or above,married,housewife,private sector employee,6-10 hours,Sometimes,Often,No,Yes,always,alone,regurlarly during the semester,always,sometimes,always,not useful,<2.00,2.50-2.99,9,DC
127,18-21,female,private,75%,Yes,Yes,Yes,USD 271-340,Private car/taxi,with family,university,Ph.D.,2,married,private sector employee,private sector employee,11-20 hours,Sometimes,Often,Yes,Yes,always,with friends,closest date to the exam,always,always,always,not useful,2.00-2.49,2.00-2.49,9,CC
128,18-21,female,state,75%,No,No,No,USD 135-200,Other,with family,high school,secondary school,2,married,government officer,self-employment,<5 hours,none,none,No,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not useful,2.00-2.49,2.00-2.49,9,DD
129,18-21,female,state,75%,No,Yes,Yes,USD 135-200,Other,with family,high school,university,2,married,private sector employee,government officer,<5 hours,none,none,No,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,not useful,2.00-2.49,2.00-2.49,9,Fail
130,18-21,female,state,50%,Yes,Yes,No,USD 135-200,Bus,rental,primary school,primary school,3,married,housewife,self-employment,11-20 hours,Sometimes,Often,No,Yes,always,with friends,regurlarly during the semester,always,sometimes,always,useful,2.00-2.49,2.50-2.99,9,CC
131,18-21,female,state,50%,Yes,Yes,No,USD 135-200,Bus,rental,primary school,secondary school,3,married,housewife,self-employment,11-20 hours,Sometimes,Sometimes,No,Yes,always,alone,regurlarly during the semester,always,never,always,useful,2.00-2.49,2.50-2.99,9,DD
132,18-21,female,private,Full,No,Yes,No,USD 135-200,Private car/taxi,dormitory,university,high school,1,married,government officer,government officer,11-20 hours,none,Often,No,Yes,always,alone,regurlarly during the semester,always,sometimes,always,not useful,above 3.49,2.50-2.99,9,CB
133,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,dormitory,primary school,secondary school,3,married,housewife,retired,<5 hours,Sometimes,Often,No,Yes,always,with friends,closest date to the exam,always,sometimes,always,not useful,above 3.49,3.00-3.49,9,CC
134,18-21,female,state,Full,No,No,Yes,USD 135-200,Bus,rental,primary school,primary school,1,married,housewife,private sector employee,6-10 hours,none,Sometimes,No,Yes,always,alone,closest date to the exam,always,always,always,useful,above 3.49,2.50-2.99,9,CC
135,18-21,female,state,75%,No,Yes,No,USD 135-200,Private car/taxi,with family,primary school,primary school,2,married,private sector employee,private sector employee,<5 hours,Sometimes,Sometimes,No,Yes,always,alone,closest date to the exam,sometimes,never,sometimes,not useful,2.00-2.49,2.50-2.99,9,DD
136,22-25,female,state,50%,Yes,Yes,No,USD 135-200,Other,dormitory,high school,high school,1,married,housewife,retired,<5 hours,Often,Sometimes,Yes,3,always,alone,closest date to the exam,always,always,sometimes,not useful,2.50-2.99,2.00-2.49,9,DC
137,18-21,female,state,50%,Yes,Yes,Yes,USD 135-200,Private car/taxi,with family,high school,high school,3,married,government officer,self-employment,<5 hours,Sometimes,Sometimes,No,Yes,always,not applicable,closest date to the exam,always,sometimes,sometimes,not useful,2.00-2.49,2.00-2.49,9,Fail
138,18-21,female,private,Full,No,Yes,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,never,always,not useful,2.00-2.49,3.00-3.49,9,DC
139,18-21,female,state,75%,Yes,Yes,Yes,above 410,Private car/taxi,with family,high school,primary school,1,divorced,private sector employee,other,<5 hours,Sometimes,Often,No,3,always,with friends,closest date to the exam,always,sometimes,always,not useful,<2.00,2.50-2.99,9,Fail
140,18-21,female,state,75%,Yes,No,Yes,USD 201-270,Private car/taxi,with family,high school,high school,1,married,self-employment,self-employment,none,none,Sometimes,No,Yes,sometimes,with friends,closest date to the exam,sometimes,always,sometimes,not useful,<2.00,2.00-2.49,9,Fail
141,22-25,female,state,50%,Yes,Yes,No,USD 135-200,Bus,dormitory,primary school,secondary school,2,divorced,housewife,self-employment,6-10 hours,Often,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,never,sometimes,not useful,2.50-2.99,2.50-2.99,9,BB
142,18-21,female,state,75%,No,No,No,USD 135-200,Other,dormitory,primary school,primary school,5 or above,married,housewife,retired,6-10 hours,Sometimes,Sometimes,No,Yes,sometimes,alone,closest date to the exam,always,sometimes,sometimes,not useful,above 3.49,2.50-2.99,9,BB
143,18-21,female,private,75%,No,No,No,USD 135-200,Bus,rental,high school,university,4,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,always,sometimes,not useful,3.00-3.49,2.50-2.99,9,DD
144,22-25,female,state,75%,Yes,Yes,Yes,above 410,Private car/taxi,with family,university,university,1,married,government officer,private sector employee,<5 hours,Sometimes,none,Yes,Yes,always,with friends,closest date to the exam,sometimes,never,sometimes,not useful,above 3.49,2.50-2.99,9,CB
145,18-21,female,private,Full,No,No,No,USD 271-340,Bus,rental,high school,primary school,5 or above,married,housewife,self-employment,6-10 hours,none,none,Yes,Yes,always,with friends,closest date to the exam,always,sometimes,always,not useful,above 3.49,3.00-3.49,9,CC
